qid,name,place_hint,wikipedia_url,sublists
Q12244630,El Alia Cemetery,,https://en.wikipedia.org/wiki/El_Alia_Cemetery,List of mausolea|List of national cemeteries
Q25053893,Royal Mausoleum (Brunei),,https://en.wikipedia.org/wiki/Royal_Mausoleum_(Brunei),List of mausolea
Q20454728,Al-Ghufran Royal Mausoleum,,https://en.wikipedia.org/wiki/Al-Ghufran_Royal_Mausoleum,List of mausolea
Q26256318,Martyrs' Mausoleum,,https://en.wikipedia.org/wiki/Martyrs'_Mausoleum,List of mausolea|List of tombs and mausoleums
Q1053301,Santa Ifigenia Cemetery,,https://en.wikipedia.org/wiki/Santa_Ifigenia_Cemetery,List of mausolea|List of national cemeteries
Q12496204,Grave of Sukarno,,https://en.wikipedia.org/wiki/Grave_of_Sukarno,List of mausolea
Q1393419,Fairview Lawn Cemetery,Canada,https://en.wikipedia.org/wiki/Fairview_Lawn_Cemetery,List of cemeteries in Canada
Q2972447,Fernhill Cemetery,Canada,https://en.wikipedia.org/wiki/Fernhill_Cemetery,List of cemeteries in Canada
Q2972513,Camp Hill Cemetery,Canada,https://en.wikipedia.org/wiki/Camp_Hill_Cemetery,List of cemeteries in Canada
Q7063337,Notre-Dame Cemetery (Ottawa),Canada,https://en.wikipedia.org/wiki/Notre-Dame_Cemetery_(Ottawa),List of cemeteries in Canada
Q7369187,Ross Bay Cemetery,Canada,https://en.wikipedia.org/wiki/Ross_Bay_Cemetery,List of cemeteries in Canada
Q6922567,"Mount Olivet Cemetery (Halifax, Nova Scotia)",Canada,https://en.wikipedia.org/wiki/Mount_Olivet_Cemetery_(Halifax%2C_Nova_Scotia),List of cemeteries in Canada
Q5051475,Cataraqui Cemetery,Canada,https://en.wikipedia.org/wiki/Cataraqui_Cemetery,List of cemeteries in Canada
Q2972451,Cimetière Notre-Dame-de-Belmont,Canada,https://en.wikipedia.org/wiki/Cimeti%C3%A8re_Notre-Dame-de-Belmont,List of cemeteries in Canada
Q507432,Notre Dame des Neiges Cemetery,Canada,https://en.wikipedia.org/wiki/Notre_Dame_des_Neiges_Cemetery,List of cemeteries in Canada
Q7083564,"Old Burying Ground (Halifax, Nova Scotia)",Canada,https://en.wikipedia.org/wiki/Old_Burying_Ground_(Halifax%2C_Nova_Scotia),List of cemeteries in Canada
Q6925333,Mountain View Cemetery (Vancouver),Canada,https://en.wikipedia.org/wiki/Mountain_View_Cemetery_(Vancouver),List of cemeteries in Canada
Q8033011,Woodlawn Cemetery (Saskatoon),Canada,https://en.wikipedia.org/wiki/Woodlawn_Cemetery_(Saskatoon),List of cemeteries in Canada
Q5469022,Forest Lawn Memorial Park (Burnaby),Canada,https://en.wikipedia.org/wiki/Forest_Lawn_Memorial_Park_(Burnaby),List of cemeteries in Canada
Q5524025,"Garrison Cemetery (Annapolis Royal, Nova Scotia)",Canada,https://en.wikipedia.org/wiki/Garrison_Cemetery_(Annapolis_Royal%2C_Nova_Scotia),List of cemeteries in Canada
Q7590566,St. Marys Cemetery,Canada,https://en.wikipedia.org/wiki/St._Marys_Cemetery,List of cemeteries in Canada
Q5885091,"Holy Cross Cemetery (Halifax, Nova Scotia)",Canada,https://en.wikipedia.org/wiki/Holy_Cross_Cemetery_(Halifax%2C_Nova_Scotia),List of cemeteries in Canada
Q6972622,National Field of Honour,Canada,https://en.wikipedia.org/wiki/National_Field_of_Honour,List of cemeteries in Canada
Q4087599,Beechwood Cemetery,Canada,https://en.wikipedia.org/wiki/Beechwood_Cemetery,List of cemeteries in Canada|List of national cemeteries
Q8508884,Holy Cross Cemetery (Edmonton),Canada,https://en.wikipedia.org/wiki/Holy_Cross_Cemetery_(Edmonton),List of cemeteries in Canada
Q7070417,Nutana Pioneer Cemetery,Canada,https://en.wikipedia.org/wiki/Nutana_Pioneer_Cemetery,List of cemeteries in Canada
Q5644868,Hamilton Cemetery,Canada,https://en.wikipedia.org/wiki/Hamilton_Cemetery,List of cemeteries in Canada
Q23303442,Mount Hermon Cemetery,Canada,https://en.wikipedia.org/wiki/Mount_Hermon_Cemetery,List of cemeteries in Canada
Q105038246,General Protestant Cemetery,Canada,https://en.wikipedia.org/wiki/General_Protestant_Cemetery,List of cemeteries in Canada
Q97482255,St. Volodymyr Ukrainian Cemetery,Canada|Halton Region,https://en.wikipedia.org/wiki/St._Volodymyr_Ukrainian_Cemetery,List of cemeteries in Canada|List of cemeteries in Halton Region
Q109139211,Burnsland Cemetery,Canada,https://en.wikipedia.org/wiki/Burnsland_Cemetery,List of cemeteries in Canada
Q109298486,Union Cemetery (Calgary),Canada,https://en.wikipedia.org/wiki/Union_Cemetery_(Calgary),List of cemeteries in Canada
Q216344,Arlington National Cemetery,United States|Kansas|African American cemeteries,https://en.wikipedia.org/wiki/Arlington_National_Cemetery,List of cemeteries in the United States|List of cemeteries in Kansas|List of African American cemeteries|List of national cemeteries
Q239043,Green-Wood Cemetery,United States|New York|New York City|North America,https://en.wikipedia.org/wiki/Green-Wood_Cemetery,List of cemeteries in the United States|List of cemeteries in New York|List of cemeteries in New York City|List of rural cemeteries in the United States|List of pyramid mausoleums in North America
Q2934520,Calvary Cemetery (Queens),United States|New York|New York City,https://en.wikipedia.org/wiki/Calvary_Cemetery_(Queens),List of cemeteries in the United States|List of cemeteries in New York|List of cemeteries in New York City
Q4941210,Bonaventure Cemetery,United States|Georgia|North America,https://en.wikipedia.org/wiki/Bonaventure_Cemetery,List of cemeteries in the United States|List of cemeteries in Georgia (U.S. state)|List of pyramid mausoleums in North America
Q10798873,Kensico Cemetery,United States|New York,https://en.wikipedia.org/wiki/Kensico_Cemetery,List of cemeteries in the United States|List of cemeteries in New York
Q4460506,Mount Hope Cemetery (Rochester),United States|New York,https://en.wikipedia.org/wiki/Mount_Hope_Cemetery_(Rochester),List of cemeteries in the United States|List of cemeteries in New York|List of rural cemeteries in the United States
Q1771319,Ferncliff Cemetery,United States|New York,https://en.wikipedia.org/wiki/Ferncliff_Cemetery,List of cemeteries in the United States|List of cemeteries in New York
Q4127009,"Gate of Heaven Cemetery (Hawthorne, New York)",United States|New York,https://en.wikipedia.org/wiki/Gate_of_Heaven_Cemetery_(Hawthorne%2C_New_York),List of cemeteries in the United States|List of cemeteries in New York
Q6822541,Metairie Cemetery,United States|Louisiana|North America,https://en.wikipedia.org/wiki/Metairie_Cemetery,List of cemeteries in the United States|List of rural cemeteries in the United States|List of cemeteries in Louisiana|List of pyramid mausoleums in North America
Q872253,Lake View Cemetery (Seattle),United States,https://en.wikipedia.org/wiki/Lake_View_Cemetery_(Seattle),List of cemeteries in the United States
Q2972444,Bellefontaine Cemetery,United States|Missouri,https://en.wikipedia.org/wiki/Bellefontaine_Cemetery,List of cemeteries in the United States|List of rural cemeteries in the United States|List of cemeteries in Missouri
Q3742510,Hendersonville Memory Gardens,United States,https://en.wikipedia.org/wiki/Hendersonville_Memory_Gardens,List of cemeteries in the United States
Q5000327,Burr Oak Cemetery,United States|African American cemeteries,https://en.wikipedia.org/wiki/Burr_Oak_Cemetery,"List of cemeteries in the United States|List of cemeteries in Cook County, Illinois|List of African American cemeteries"
Q4148426,Graceland Cemetery,United States|North America,https://en.wikipedia.org/wiki/Graceland_Cemetery,"List of cemeteries in the United States|List of cemeteries in Cook County, Illinois|List of rural cemeteries in the United States|List of pyramid mausoleums in North America"
Q5594250,Grand Army of the Republic Cemetery (Seattle),United States,https://en.wikipedia.org/wiki/Grand_Army_of_the_Republic_Cemetery_(Seattle),List of cemeteries in the United States
Q5108770,Christ Church Burial Ground,United States|Pennsylvania,https://en.wikipedia.org/wiki/Christ_Church_Burial_Ground,List of cemeteries in the United States|List of tombs and mausoleums|List of cemeteries in Pennsylvania
Q2972519,Cypress Hills Cemetery,United States|New York|New York City,https://en.wikipedia.org/wiki/Cypress_Hills_Cemetery,List of cemeteries in the United States|List of cemeteries in New York|List of cemeteries in New York City|List of rural cemeteries in the United States
Q5024158,Calvary Cemetery (Seattle),United States,https://en.wikipedia.org/wiki/Calvary_Cemetery_(Seattle),List of cemeteries in the United States
Q1140339,Granary Burying Ground,United States|Boston|Massachusetts,https://en.wikipedia.org/wiki/Granary_Burying_Ground,List of cemeteries in the United States|List of cemeteries in Boston|List of cemeteries in Massachusetts
Q5882648,"Hollywood Cemetery (Richmond, Virginia)",United States|North America,https://en.wikipedia.org/wiki/Hollywood_Cemetery_(Richmond%2C_Virginia),List of cemeteries in the United States|List of rural cemeteries in the United States|List of pyramid mausoleums in North America
Q2892262,Congressional Cemetery,United States,https://en.wikipedia.org/wiki/Congressional_Cemetery,List of cemeteries in the United States
Q6922895,"Mount Pleasant Cemetery (Newark, New Jersey)",United States|New Jersey,https://en.wikipedia.org/wiki/Mount_Pleasant_Cemetery_(Newark%2C_New_Jersey),List of cemeteries in the United States|List of cemeteries in New Jersey|List of rural cemeteries in the United States
Q4838744,Bachelor's Grove Cemetery,United States,https://en.wikipedia.org/wiki/Bachelor's_Grove_Cemetery,"List of cemeteries in the United States|List of cemeteries in Cook County, Illinois"
Q4925011,Blandford Cemetery,United States|African American cemeteries,https://en.wikipedia.org/wiki/Blandford_Cemetery,List of cemeteries in the United States|List of African American cemeteries
Q5189371,Crown Hill Cemetery,United States|Indiana,https://en.wikipedia.org/wiki/Crown_Hill_Cemetery,List of cemeteries in the United States|List of rural cemeteries in the United States|List of cemeteries in Indiana
Q5605043,"Greenwood Memorial Park (Renton, Washington)",United States,https://en.wikipedia.org/wiki/Greenwood_Memorial_Park_(Renton%2C_Washington),List of cemeteries in the United States
Q4257680,Lexington Cemetery,United States|Kentucky,https://en.wikipedia.org/wiki/Lexington_Cemetery,List of cemeteries in the United States|List of rural cemeteries in the United States|List of cemeteries in Kentucky
Q2943261,Cave Hill Cemetery,United States|Kentucky,https://en.wikipedia.org/wiki/Cave_Hill_Cemetery,List of cemeteries in the United States|List of rural cemeteries in the United States|List of cemeteries in Kentucky
Q5551310,Forest Home Cemetery (Forest Park),United States,https://en.wikipedia.org/wiki/Forest_Home_Cemetery_(Forest_Park),"List of cemeteries in the United States|List of cemeteries in Cook County, Illinois"
Q4873158,Battleground National Cemetery,United States,https://en.wikipedia.org/wiki/Battleground_National_Cemetery,List of cemeteries in the United States
Q5417178,"Evergreen Cemetery (Bloomington, Illinois)",United States|Illinois,https://en.wikipedia.org/wiki/Evergreen_Cemetery_(Bloomington%2C_Illinois),List of cemeteries in the United States|List of cemeteries in Illinois
Q5069021,Chalmette National Cemetery,United States|Louisiana,https://en.wikipedia.org/wiki/Chalmette_National_Cemetery,List of cemeteries in the United States|List of cemeteries in Louisiana
Q3035,Girod Street Cemetery,United States|Louisiana|African American cemeteries,https://en.wikipedia.org/wiki/Girod_Street_Cemetery,List of cemeteries in the United States|List of cemeteries in Louisiana|List of African American cemeteries
Q4874823,Bayside Cemetery,United States|New York|Jewish cemeteries in New York City|New York City|Jewish cemeteries in the United States,https://en.wikipedia.org/wiki/Bayside_Cemetery,List of cemeteries in the United States|List of cemeteries in New York|List of Jewish cemeteries in New York City|List of cemeteries in New York City|List of Jewish cemeteries in the United States
Q6922573,"Mount Olivet Cemetery (Washington, D.C.)",United States,https://en.wikipedia.org/wiki/Mount_Olivet_Cemetery_(Washington%2C_D.C.),List of cemeteries in the United States|List of rural cemeteries in the United States
Q451629,Mount Moriah Cemetery (South Dakota),United States|South Dakota,https://en.wikipedia.org/wiki/Mount_Moriah_Cemetery_(South_Dakota),List of cemeteries in the United States|List of cemeteries in South Dakota
Q5460476,Floral Park Cemetery,United States|New Jersey|Jewish cemeteries in the United States,https://en.wikipedia.org/wiki/Floral_Park_Cemetery,List of cemeteries in the United States|List of cemeteries in New Jersey|List of Jewish cemeteries in the United States
Q5471539,Fort Logan National Cemetery,United States|Colorado,https://en.wikipedia.org/wiki/Fort_Logan_National_Cemetery,List of cemeteries in the United States|List of cemeteries in Colorado
Q5469014,"Forest Lawn Cemetery (Buffalo, New York)",United States|New York,https://en.wikipedia.org/wiki/Forest_Lawn_Cemetery_(Buffalo%2C_New_York),List of cemeteries in the United States|List of cemeteries in New York|List of rural cemeteries in the United States
Q5604991,"Greenwood Cemetery, New Orleans",United States|Louisiana,https://en.wikipedia.org/wiki/Greenwood_Cemetery%2C_New_Orleans,List of cemeteries in the United States|List of rural cemeteries in the United States|List of cemeteries in Louisiana
Q6815487,"Memorial Park Cemetery (Memphis, Tennessee)",United States|Tennessee,https://en.wikipedia.org/wiki/Memorial_Park_Cemetery_(Memphis%2C_Tennessee),List of cemeteries in the United States|List of cemeteries in Tennessee
Q4720985,Alexandria National Cemetery (Virginia),United States,https://en.wikipedia.org/wiki/Alexandria_National_Cemetery_(Virginia),List of cemeteries in the United States
Q4920966,Black Hills National Cemetery,United States|South Dakota,https://en.wikipedia.org/wiki/Black_Hills_National_Cemetery,List of cemeteries in the United States|List of cemeteries in South Dakota
Q5027453,Camp Nelson National Cemetery,United States|Kentucky,https://en.wikipedia.org/wiki/Camp_Nelson_National_Cemetery,List of cemeteries in the United States|List of cemeteries in Kentucky
Q5087886,Chattanooga National Cemetery,United States|Tennessee,https://en.wikipedia.org/wiki/Chattanooga_National_Cemetery,List of cemeteries in the United States|List of cemeteries in Tennessee
Q5910471,Hot Springs National Cemetery,United States|South Dakota,https://en.wikipedia.org/wiki/Hot_Springs_National_Cemetery,List of cemeteries in the United States|List of cemeteries in South Dakota
Q8509453,Fort Bayard National Cemetery,United States|New Mexico,https://en.wikipedia.org/wiki/Fort_Bayard_National_Cemetery,List of cemeteries in the United States|List of cemeteries in New Mexico
Q1519241,"Mount Carmel Cemetery (Hillside, Illinois)",United States,https://en.wikipedia.org/wiki/Mount_Carmel_Cemetery_(Hillside%2C_Illinois),"List of cemeteries in the United States|List of cemeteries in Cook County, Illinois"
Q5471562,Fort Lyon National Cemetery,United States|Colorado,https://en.wikipedia.org/wiki/Fort_Lyon_National_Cemetery,List of cemeteries in the United States|List of cemeteries in Colorado
Q5471660,Fort McPherson National Cemetery,United States|Nebraska,https://en.wikipedia.org/wiki/Fort_McPherson_National_Cemetery,List of cemeteries in the United States|List of cemeteries in Nebraska
Q5461525,Florida National Cemetery,United States|Florida,https://en.wikipedia.org/wiki/Florida_National_Cemetery,List of cemeteries in the United States|List of cemeteries in Florida
Q5471665,Fort Meade National Cemetery,United States|South Dakota,https://en.wikipedia.org/wiki/Fort_Meade_National_Cemetery,List of cemeteries in the United States|List of cemeteries in South Dakota
Q6511115,Lebanon National Cemetery,United States|Kentucky,https://en.wikipedia.org/wiki/Lebanon_National_Cemetery,List of cemeteries in the United States|List of cemeteries in Kentucky
Q1437196,Forest Home Cemetery,United States,https://en.wikipedia.org/wiki/Forest_Home_Cemetery,List of cemeteries in the United States|List of rural cemeteries in the United States
Q6858418,Mill Springs National Cemetery,United States|Kentucky,https://en.wikipedia.org/wiki/Mill_Springs_National_Cemetery,List of cemeteries in the United States|List of cemeteries in Kentucky
Q5221376,Danville National Cemetery (Kentucky),United States|Kentucky,https://en.wikipedia.org/wiki/Danville_National_Cemetery_(Kentucky),List of cemeteries in the United States|List of cemeteries in Kentucky
Q5763910,"Hillside Cemetery (Scotch Plains, New Jersey)",United States|New Jersey,https://en.wikipedia.org/wiki/Hillside_Cemetery_(Scotch_Plains%2C_New_Jersey),List of cemeteries in the United States|List of cemeteries in New Jersey
Q5244747,De Smet Cemetery,United States|South Dakota,https://en.wikipedia.org/wiki/De_Smet_Cemetery,List of cemeteries in the United States|List of cemeteries in South Dakota
Q5024157,Calvary Cemetery (Milwaukee),United States,https://en.wikipedia.org/wiki/Calvary_Cemetery_(Milwaukee),List of cemeteries in the United States
Q5366962,"Elmwood Cemetery (Memphis, Tennessee)",United States|Tennessee,https://en.wikipedia.org/wiki/Elmwood_Cemetery_(Memphis%2C_Tennessee),List of cemeteries in the United States|List of cemeteries in Tennessee|List of rural cemeteries in the United States
Q5605000,Greenwood Cemetery (Pittsburgh),United States|Pennsylvania,https://en.wikipedia.org/wiki/Greenwood_Cemetery_(Pittsburgh),List of cemeteries in the United States|List of cemeteries in Pennsylvania
Q5056799,Cedar Lawn Cemetery,United States|New Jersey,https://en.wikipedia.org/wiki/Cedar_Lawn_Cemetery,List of cemeteries in the United States|List of cemeteries in New Jersey|List of rural cemeteries in the United States
Q15224685,Holy Rood Cemetery,United States,https://en.wikipedia.org/wiki/Holy_Rood_Cemetery,List of cemeteries in the United States
Q5101696,Chippiannock Cemetery,United States|Illinois,https://en.wikipedia.org/wiki/Chippiannock_Cemetery,List of cemeteries in the United States|List of rural cemeteries in the United States|List of cemeteries in Illinois
Q6550517,Lincoln Cemetery (Cook County),United States|African American cemeteries,https://en.wikipedia.org/wiki/Lincoln_Cemetery_(Cook_County),"List of cemeteries in the United States|List of cemeteries in Cook County, Illinois|List of African American cemeteries"
Q8509569,Mount Moriah Cemetery (Philadelphia),United States|Pennsylvania,https://en.wikipedia.org/wiki/Mount_Moriah_Cemetery_(Philadelphia),List of cemeteries in the United States|List of cemeteries in Pennsylvania|List of rural cemeteries in the United States
Q5417189,"Evergreen Cemetery (Richmond, Virginia)",United States|African American cemeteries,https://en.wikipedia.org/wiki/Evergreen_Cemetery_(Richmond%2C_Virginia),List of cemeteries in the United States|List of African American cemeteries
Q8510623,Frankfort Cemetery,United States|Kentucky,https://en.wikipedia.org/wiki/Frankfort_Cemetery,List of cemeteries in the United States|List of rural cemeteries in the United States|List of cemeteries in Kentucky
Q5886186,"Holy Sepulchre Cemetery (Alsip, Illinois)",United States,https://en.wikipedia.org/wiki/Holy_Sepulchre_Cemetery_(Alsip%2C_Illinois),"List of cemeteries in the United States|List of cemeteries in Cook County, Illinois"
Q5695834,"Hebrew Cemetery (Richmond, Virginia)",United States|Jewish cemeteries in the United States,https://en.wikipedia.org/wiki/Hebrew_Cemetery_(Richmond%2C_Virginia),List of cemeteries in the United States|List of Jewish cemeteries in the United States
Q5583628,Goodsprings Cemetery (Nevada),United States|Nevada,https://en.wikipedia.org/wiki/Goodsprings_Cemetery_(Nevada),List of cemeteries in the United States|List of cemeteries in Nevada
Q5366961,"Elmwood Cemetery (Kansas City, Missouri)",United States|Missouri,https://en.wikipedia.org/wiki/Elmwood_Cemetery_(Kansas_City%2C_Missouri),List of cemeteries in the United States|List of rural cemeteries in the United States|List of cemeteries in Missouri
Q5469023,"Forest Lawn Memorial Park (Omaha, Nebraska)",United States|Omaha|Nebraska,https://en.wikipedia.org/wiki/Forest_Lawn_Memorial_Park_(Omaha%2C_Nebraska),List of cemeteries in the United States|List of cemeteries in Omaha|List of cemeteries in Nebraska
Q2972526,"Forest Hill Cemetery (Utica, New York)",United States|New York,https://en.wikipedia.org/wiki/Forest_Hill_Cemetery_(Utica%2C_New_York),List of cemeteries in the United States|List of cemeteries in New York|List of rural cemeteries in the United States
Q5527017,"Gate of Heaven Cemetery (East Hanover, New Jersey)",United States|New Jersey,https://en.wikipedia.org/wiki/Gate_of_Heaven_Cemetery_(East_Hanover%2C_New_Jersey),List of cemeteries in the United States|List of cemeteries in New Jersey
Q5658479,Harleigh Cemetery,United States|New Jersey,https://en.wikipedia.org/wiki/Harleigh_Cemetery,List of cemeteries in the United States|List of cemeteries in New Jersey|List of rural cemeteries in the United States
Q5690129,Heady Lane Cemetery,United States|Indiana,https://en.wikipedia.org/wiki/Heady_Lane_Cemetery,List of cemeteries in the United States|List of cemeteries in Indiana
Q5468923,"Forest Hill Cemetery (Madison, Wisconsin)",United States,https://en.wikipedia.org/wiki/Forest_Hill_Cemetery_(Madison%2C_Wisconsin),List of cemeteries in the United States
Q5015199,Caballero Rivero Woodlawn Park North Cemetery and Mausoleum,United States|Florida,https://en.wikipedia.org/wiki/Caballero_Rivero_Woodlawn_Park_North_Cemetery_and_Mausoleum,List of cemeteries in the United States|List of cemeteries in Florida
Q5056756,"Cedar Hill Cemetery (Hartford, Connecticut)",United States|Connecticut|North America,https://en.wikipedia.org/wiki/Cedar_Hill_Cemetery_(Hartford%2C_Connecticut),List of cemeteries in the United States|List of cemeteries in Connecticut|List of rural cemeteries in the United States|List of pyramid mausoleums in North America
Q2341172,Mount Hebron Cemetery (New York City),United States|New York|Jewish cemeteries in New York City|New York City|Jewish cemeteries in the United States,https://en.wikipedia.org/wiki/Mount_Hebron_Cemetery_(New_York_City),List of cemeteries in the United States|List of cemeteries in New York|List of Jewish cemeteries in New York City|List of cemeteries in New York City|List of Jewish cemeteries in the United States
Q6651114,Little Neck Cemetery,United States|Rhode Island,https://en.wikipedia.org/wiki/Little_Neck_Cemetery,List of cemeteries in the United States|List of cemeteries in Rhode Island
Q5149632,"Columbia Cemetery (Columbia, Missouri)",United States|Missouri|African American cemeteries,https://en.wikipedia.org/wiki/Columbia_Cemetery_(Columbia%2C_Missouri),"List of cemeteries in the United States|List of cemeteries in Boone County, Missouri|List of cemeteries in Missouri|List of African American cemeteries"
